CDU_FIELD_NAME,CENSUS_CELLNAME,TOPIC,CATEGORY,TOPIC_DESCRIPTION,
F15589,KS0050001,Unit,People,The unit is for a particular count (e.g. people or households),
F15589,KS0050001,Country of birth,All people,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F15590,KS0050002,Country of birth,Europe \ United Kingdom  \ England ,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F15590,KS0050002,Unit,People,The unit is for a particular count (e.g. people or households),
F15591,KS0050003,Unit,People,The unit is for a particular count (e.g. people or households),
F15591,KS0050003,Country of birth,Europe \ United Kingdom  \ Scotland,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F15592,KS0050004,Country of birth,Europe \ United Kingdom  \ Wales,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F15592,KS0050004,Unit,People,The unit is for a particular count (e.g. people or households),
F15593,KS0050005,Unit,People,The unit is for a particular count (e.g. people or households),
F15593,KS0050005,Country of birth,Europe \ United Kingdom  \ Northern Ireland,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F15594,KS0050006,Country of birth,Europe \ Republic of Ireland,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F15594,KS0050006,Unit,People,The unit is for a particular count (e.g. people or households),
F15596,KS0050008,Unit,People,The unit is for a particular count (e.g. people or households),
F15596,KS0050008,Country of birth,Other,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96140,UV0080003,Unit,People,The unit is for a particular count (e.g. people or households),
F96140,UV0080003,Country of birth,Europe \ United Kingdom ,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96145,UV0080008,Unit,People,The unit is for a particular count (e.g. people or households),
F96145,UV0080008,Country of birth,Europe \ United Kingdom  \ UK part not specified,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96147,UV0080010,Country of birth,Europe \ Channel Islands and Isle of Man,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96147,UV0080010,Unit,People,The unit is for a particular count (e.g. people or households),
F96148,UV0080011,Unit,People,The unit is for a particular count (e.g. people or households),
F96148,UV0080011,Country of birth,Europe \ Other Western Europe,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96149,UV0080012,Country of birth,Europe \ Other Western Europe \ EU countries ,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96149,UV0080012,Unit,People,The unit is for a particular count (e.g. people or households),
F96163,UV0080026,Unit,People,The unit is for a particular count (e.g. people or households),
F96163,UV0080026,Country of birth,Europe \ Other Western Europe \ Non EU countries in Western Europe,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96164,UV0080027,Unit,People,The unit is for a particular count (e.g. people or households),
F96164,UV0080027,Country of birth,Europe \ Eastern Europe,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96168,UV0080031,Unit,People,The unit is for a particular count (e.g. people or households),
F96168,UV0080031,Country of birth,Europe \ Eastern Europe \ Poland,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96174,UV0080037,Country of birth,Africa,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96174,UV0080037,Unit,People,The unit is for a particular count (e.g. people or households),
F96187,UV0080050,Unit,People,The unit is for a particular count (e.g. people or households),
F96187,UV0080050,Country of birth,Asia,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96208,UV0080071,Country of birth,North America,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96208,UV0080071,Unit,People,The unit is for a particular count (e.g. people or households),
F96214,UV0080077,Unit,People,The unit is for a particular count (e.g. people or households),
F96214,UV0080077,Country of birth,South America,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96215,UV0080078,Country of birth,Oceania,"This question records each person's country of birth. A different order is used for the tick-box responses for England and Wales, Scotland and Northern Ireland. Where there is no applicable tick-box, the respondent is asked to write-in the present name of their country of birth. The variable is coded using the ONS Geography Classification of Countries (OGCC) (a coding system used in some other ONS outputs).",
F96215,UV0080078,Unit,People,The unit is for a particular count (e.g. people or households),
