census,msoa,cob,count
2001,E02000001,EE,116
2001,E02000001,Other,1258
2001,E02000001,rWE,409
2001,E02000001,UK,5233
2001,E02000002,EE,32
2001,E02000002,Other,425
2001,E02000002,rWE,33
2001,E02000002,UK,5651
2001,E02000003,EE,30
2001,E02000003,Other,808
2001,E02000003,rWE,57
2001,E02000003,UK,8105
2001,E02000004,EE,19
2001,E02000004,Other,219
2001,E02000004,rWE,45
2001,E02000004,UK,5735
2001,E02000005,EE,37
2001,E02000005,Other,396
2001,E02000005,rWE,58
2001,E02000005,UK,7272
2001,E02000006,EE,65
2001,E02000006,Other,568
2001,E02000006,rWE,83
2001,E02000006,UK,7958
2001,E02000007,EE,65
2001,E02000007,Other,335
2001,E02000007,rWE,39
2001,E02000007,UK,7218
2001,E02000008,EE,44
2001,E02000008,Other,397
2001,E02000008,rWE,65
2001,E02000008,UK,9906
2001,E02000009,EE,83
2001,E02000009,Other,726
2001,E02000009,rWE,226
2001,E02000009,UK,7527
2001,E02000010,EE,30
2001,E02000010,Other,277
2001,E02000010,rWE,33
2001,E02000010,UK,7359
2001,E02000011,EE,35
2001,E02000011,Other,315
2001,E02000011,rWE,40
2001,E02000011,UK,5270
2001,E02000012,EE,28
2001,E02000012,Other,522
2001,E02000012,rWE,65
2001,E02000012,UK,6700
2001,E02000013,EE,26
2001,E02000013,Other,269
2001,E02000013,rWE,55
2001,E02000013,UK,7141
2001,E02000014,EE,32
2001,E02000014,Other,307
2001,E02000014,rWE,60
2001,E02000014,UK,8323
2001,E02000015,EE,39
2001,E02000015,Other,375
2001,E02000015,rWE,51
2001,E02000015,UK,6170
2001,E02000016,EE,243
2001,E02000016,Other,1434
2001,E02000016,rWE,111
2001,E02000016,UK,3801
2001,E02000017,EE,99
2001,E02000017,Other,1741
2001,E02000017,rWE,91
2001,E02000017,UK,5510
2001,E02000018,EE,47
2001,E02000018,Other,396
2001,E02000018,rWE,59
2001,E02000018,UK,6801
2001,E02000019,EE,42
2001,E02000019,Other,400
2001,E02000019,rWE,37
2001,E02000019,UK,6867
2001,E02000020,EE,66
2001,E02000020,Other,921
2001,E02000020,rWE,76
2001,E02000020,UK,6048
2001,E02000021,EE,49
2001,E02000021,Other,643
2001,E02000021,rWE,57
2001,E02000021,UK,6455
2001,E02000022,EE,328
2001,E02000022,Other,1201
2001,E02000022,rWE,94
2001,E02000022,UK,4514
2001,E02000023,EE,115
2001,E02000023,Other,662
2001,E02000023,rWE,64
2001,E02000023,UK,4825
2001,E02000024,EE,114
2001,E02000024,Other,835
2001,E02000024,rWE,239
2001,E02000024,UK,7863
2001,E02000025,EE,102
2001,E02000025,Other,805
2001,E02000025,rWE,149
2001,E02000025,UK,6422
2001,E02000026,EE,72
2001,E02000026,Other,840
2001,E02000026,rWE,144
2001,E02000026,UK,5000
2001,E02000027,EE,120
2001,E02000027,Other,1228
2001,E02000027,rWE,187
2001,E02000027,UK,7589
2001,E02000028,EE,74
2001,E02000028,Other,758
2001,E02000028,rWE,191
2001,E02000028,UK,4418
2001,E02000029,EE,113
2001,E02000029,Other,837
2001,E02000029,rWE,171
2001,E02000029,UK,6406
2001,E02000030,EE,113
2001,E02000030,Other,1264
2001,E02000030,rWE,263
2001,E02000030,UK,7236
2001,E02000031,EE,74
2001,E02000031,Other,1128
2001,E02000031,rWE,246
2001,E02000031,UK,5587
2001,E02000032,EE,75
2001,E02000032,Other,1617
2001,E02000032,rWE,235
2001,E02000032,UK,5188
2001,E02000033,EE,117
2001,E02000033,Other,1157
2001,E02000033,rWE,182
2001,E02000033,UK,5774
2001,E02000034,EE,114
2001,E02000034,Other,1249
2001,E02000034,rWE,236
2001,E02000034,UK,5938
2001,E02000035,EE,174
2001,E02000035,Other,1841
2001,E02000035,rWE,304
2001,E02000035,UK,4918
2001,E02000036,EE,131
2001,E02000036,Other,1985
2001,E02000036,rWE,206
2001,E02000036,UK,6919
2001,E02000037,EE,118
2001,E02000037,Other,1773
2001,E02000037,rWE,211
2001,E02000037,UK,6744
2001,E02000038,EE,209
2001,E02000038,Other,1731
2001,E02000038,rWE,282
2001,E02000038,UK,6373
2001,E02000039,EE,137
2001,E02000039,Other,1046
2001,E02000039,rWE,202
2001,E02000039,UK,4642
2001,E02000040,EE,120
2001,E02000040,Other,1021
2001,E02000040,rWE,245
2001,E02000040,UK,4579
2001,E02000041,EE,134
2001,E02000041,Other,1873
2001,E02000041,rWE,214
2001,E02000041,UK,5241
2001,E02000042,EE,247
2001,E02000042,Other,2448
2001,E02000042,rWE,383
2001,E02000042,UK,5728
2001,E02000043,EE,153
2001,E02000043,Other,1983
2001,E02000043,rWE,313
2001,E02000043,UK,4386
2001,E02000044,EE,80
2001,E02000044,Other,1536
2001,E02000044,rWE,178
2001,E02000044,UK,5500
2001,E02000045,EE,223
2001,E02000045,Other,1756
2001,E02000045,rWE,232
2001,E02000045,UK,6344
2001,E02000046,EE,139
2001,E02000046,Other,1648
2001,E02000046,rWE,301
2001,E02000046,UK,3676
2001,E02000047,EE,170
2001,E02000047,Other,2196
2001,E02000047,rWE,183
2001,E02000047,UK,6178
2001,E02000048,EE,168
2001,E02000048,Other,1876
2001,E02000048,rWE,314
2001,E02000048,UK,5224
2001,E02000049,EE,129
2001,E02000049,Other,2382
2001,E02000049,rWE,248
2001,E02000049,UK,4874
2001,E02000050,EE,155
2001,E02000050,Other,2163
2001,E02000050,rWE,267
2001,E02000050,UK,5865
2001,E02000051,EE,238
2001,E02000051,Other,1955
2001,E02000051,rWE,349
2001,E02000051,UK,4948
2001,E02000052,EE,151
2001,E02000052,Other,1801
2001,E02000052,rWE,374
2001,E02000052,UK,6158
2001,E02000053,EE,153
2001,E02000053,Other,2118
2001,E02000053,rWE,253
2001,E02000053,UK,3298
2001,E02000054,EE,156
2001,E02000054,Other,1688
2001,E02000054,rWE,265
2001,E02000054,UK,3717
2001,E02000055,EE,295
2001,E02000055,Other,2454
2001,E02000055,rWE,531
2001,E02000055,UK,5550
2001,E02000056,EE,276
2001,E02000056,Other,1934
2001,E02000056,rWE,486
2001,E02000056,UK,5957
2001,E02000057,EE,196
2001,E02000057,Other,1739
2001,E02000057,rWE,315
2001,E02000057,UK,3893
2001,E02000058,EE,384
2001,E02000058,Other,1929
2001,E02000058,rWE,626
2001,E02000058,UK,5951
2001,E02000059,EE,146
2001,E02000059,Other,2881
2001,E02000059,rWE,254
2001,E02000059,UK,5099
2001,E02000060,EE,342
2001,E02000060,Other,2431
2001,E02000060,rWE,716
2001,E02000060,UK,5506
2001,E02000061,EE,330
2001,E02000061,Other,2275
2001,E02000061,rWE,574
2001,E02000061,UK,3984
2001,E02000062,EE,148
2001,E02000062,Other,1478
2001,E02000062,rWE,218
2001,E02000062,UK,3383
2001,E02000063,EE,247
2001,E02000063,Other,1728
2001,E02000063,rWE,367
2001,E02000063,UK,3138
2001,E02000064,EE,203
2001,E02000064,Other,1345
2001,E02000064,rWE,342
2001,E02000064,UK,3469
2001,E02000065,EE,42
2001,E02000065,Other,889
2001,E02000065,rWE,109
2001,E02000065,UK,5164
2001,E02000066,EE,100
2001,E02000066,Other,1643
2001,E02000066,rWE,137
2001,E02000066,UK,7330
2001,E02000067,EE,51
2001,E02000067,Other,650
2001,E02000067,rWE,81
2001,E02000067,UK,6939
2001,E02000068,EE,33
2001,E02000068,Other,533
2001,E02000068,rWE,48
2001,E02000068,UK,4832
2001,E02000069,EE,36
2001,E02000069,Other,449
2001,E02000069,rWE,53
2001,E02000069,UK,5198
2001,E02000070,EE,20
2001,E02000070,Other,355
2001,E02000070,rWE,66
2001,E02000070,UK,7095
2001,E02000071,EE,12
2001,E02000071,Other,368
2001,E02000071,rWE,72
2001,E02000071,UK,6739
2001,E02000072,EE,94
2001,E02000072,Other,587
2001,E02000072,rWE,100
2001,E02000072,UK,9635
2001,E02000073,EE,30
2001,E02000073,Other,473
2001,E02000073,rWE,63
2001,E02000073,UK,9659
2001,E02000074,EE,14
2001,E02000074,Other,305
2001,E02000074,rWE,60
2001,E02000074,UK,6939
2001,E02000075,EE,19
2001,E02000075,Other,332
2001,E02000075,rWE,61
2001,E02000075,UK,7329
2001,E02000076,EE,27
2001,E02000076,Other,342
2001,E02000076,rWE,49
2001,E02000076,UK,5591
2001,E02000077,EE,17
2001,E02000077,Other,382
2001,E02000077,rWE,51
2001,E02000077,UK,6984
2001,E02000078,EE,14
2001,E02000078,Other,228
2001,E02000078,rWE,51
2001,E02000078,UK,7239
2001,E02000079,EE,28
2001,E02000079,Other,364
2001,E02000079,rWE,80
2001,E02000079,UK,6919
2001,E02000080,EE,36
2001,E02000080,Other,448
2001,E02000080,rWE,60
2001,E02000080,UK,8235
2001,E02000081,EE,11
2001,E02000081,Other,280
2001,E02000081,rWE,74
2001,E02000081,UK,6833
2001,E02000082,EE,18
2001,E02000082,Other,423
2001,E02000082,rWE,71
2001,E02000082,UK,8229
2001,E02000083,EE,30
2001,E02000083,Other,264
2001,E02000083,rWE,77
2001,E02000083,UK,8352
2001,E02000084,EE,24
2001,E02000084,Other,454
2001,E02000084,rWE,93
2001,E02000084,UK,9531
2001,E02000085,EE,13
2001,E02000085,Other,262
2001,E02000085,rWE,50
2001,E02000085,UK,7198
2001,E02000086,EE,11
2001,E02000086,Other,266
2001,E02000086,rWE,74
2001,E02000086,UK,6867
2001,E02000087,EE,20
2001,E02000087,Other,345
2001,E02000087,rWE,63
2001,E02000087,UK,6732
2001,E02000088,EE,19
2001,E02000088,Other,301
2001,E02000088,rWE,68
2001,E02000088,UK,6935
2001,E02000089,EE,30
2001,E02000089,Other,241
2001,E02000089,rWE,72
2001,E02000089,UK,7084
2001,E02000090,EE,18
2001,E02000090,Other,379
2001,E02000090,rWE,90
2001,E02000090,UK,7306
2001,E02000091,EE,32
2001,E02000091,Other,508
2001,E02000091,rWE,122
2001,E02000091,UK,8388
2001,E02000092,EE,21
2001,E02000092,Other,256
2001,E02000092,rWE,49
2001,E02000092,UK,5332
2001,E02000093,EE,99
2001,E02000093,Other,3767
2001,E02000093,rWE,191
2001,E02000093,UK,5224
2001,E02000094,EE,86
2001,E02000094,Other,2368
2001,E02000094,rWE,188
2001,E02000094,UK,4392
2001,E02000095,EE,105
2001,E02000095,Other,3862
2001,E02000095,rWE,198
2001,E02000095,UK,4526
2001,E02000096,EE,102
2001,E02000096,Other,2590
2001,E02000096,rWE,145
2001,E02000096,UK,4581
2001,E02000097,EE,95
2001,E02000097,Other,2581
2001,E02000097,rWE,209
2001,E02000097,UK,4302
2001,E02000098,EE,154
2001,E02000098,Other,2562
2001,E02000098,rWE,202
2001,E02000098,UK,4117
2001,E02000099,EE,96
2001,E02000099,Other,2590
2001,E02000099,rWE,222
2001,E02000099,UK,3881
2001,E02000100,EE,84
2001,E02000100,Other,3130
2001,E02000100,rWE,212
2001,E02000100,UK,4304
2001,E02000101,EE,169
2001,E02000101,Other,2695
2001,E02000101,rWE,225
2001,E02000101,UK,3988
2001,E02000102,EE,191
2001,E02000102,Other,2705
2001,E02000102,rWE,213
2001,E02000102,UK,3935
2001,E02000103,EE,200
2001,E02000103,Other,2152
2001,E02000103,rWE,315
2001,E02000103,UK,4117
2001,E02000104,EE,120
2001,E02000104,Other,2113
2001,E02000104,rWE,206
2001,E02000104,UK,3144
2001,E02000105,EE,145
2001,E02000105,Other,3044
2001,E02000105,rWE,189
2001,E02000105,UK,3765
2001,E02000106,EE,256
2001,E02000106,Other,3120
2001,E02000106,rWE,360
2001,E02000106,UK,4462
2001,E02000107,EE,307
2001,E02000107,Other,2542
2001,E02000107,rWE,519
2001,E02000107,UK,4533
2001,E02000108,EE,122
2001,E02000108,Other,2328
2001,E02000108,rWE,107
2001,E02000108,UK,3133
2001,E02000109,EE,155
2001,E02000109,Other,3169
2001,E02000109,rWE,145
2001,E02000109,UK,3517
2001,E02000110,EE,236
2001,E02000110,Other,2290
2001,E02000110,rWE,464
2001,E02000110,UK,3969
2001,E02000111,EE,118
2001,E02000111,Other,3638
2001,E02000111,rWE,123
2001,E02000111,UK,3442
2001,E02000112,EE,159
2001,E02000112,Other,3524
2001,E02000112,rWE,155
2001,E02000112,UK,3416
2001,E02000113,EE,133
2001,E02000113,Other,2852
2001,E02000113,rWE,200
2001,E02000113,UK,5004
2001,E02000114,EE,133
2001,E02000114,Other,2399
2001,E02000114,rWE,422
2001,E02000114,UK,3943
2001,E02000115,EE,218
2001,E02000115,Other,1983
2001,E02000115,rWE,505
2001,E02000115,UK,4399
2001,E02000116,EE,227
2001,E02000116,Other,2290
2001,E02000116,rWE,324
2001,E02000116,UK,3310
2001,E02000117,EE,165
2001,E02000117,Other,3313
2001,E02000117,rWE,275
2001,E02000117,UK,5027
2001,E02000118,EE,117
2001,E02000118,Other,3552
2001,E02000118,rWE,170
2001,E02000118,UK,3687
2001,E02000119,EE,135
2001,E02000119,Other,3012
2001,E02000119,rWE,158
2001,E02000119,UK,3573
2001,E02000120,EE,168
2001,E02000120,Other,1964
2001,E02000120,rWE,476
2001,E02000120,UK,4464
2001,E02000121,EE,146
2001,E02000121,Other,4008
2001,E02000121,rWE,160
2001,E02000121,UK,3209
2001,E02000122,EE,169
2001,E02000122,Other,1922
2001,E02000122,rWE,504
2001,E02000122,UK,4445
2001,E02000123,EE,196
2001,E02000123,Other,2840
2001,E02000123,rWE,376
2001,E02000123,UK,5047
2001,E02000124,EE,128
2001,E02000124,Other,1881
2001,E02000124,rWE,424
2001,E02000124,UK,4950
2001,E02000125,EE,139
2001,E02000125,Other,2578
2001,E02000125,rWE,529
2001,E02000125,UK,5448
2001,E02000126,EE,115
2001,E02000126,Other,2064
2001,E02000126,rWE,233
2001,E02000126,UK,3699
2001,E02000127,EE,33
2001,E02000127,Other,443
2001,E02000127,rWE,98
2001,E02000127,UK,7939
2001,E02000128,EE,33
2001,E02000128,Other,428
2001,E02000128,rWE,122
2001,E02000128,UK,6783
2001,E02000129,EE,50
2001,E02000129,Other,493
2001,E02000129,rWE,120
2001,E02000129,UK,6527
2001,E02000130,EE,93
2001,E02000130,Other,917
2001,E02000130,rWE,171
2001,E02000130,UK,6389
2001,E02000131,EE,131
2001,E02000131,Other,1135
2001,E02000131,rWE,233
2001,E02000131,UK,6446
2001,E02000132,EE,86
2001,E02000132,Other,810
2001,E02000132,rWE,208
2001,E02000132,UK,6587
2001,E02000133,EE,61
2001,E02000133,Other,745
2001,E02000133,rWE,246
2001,E02000133,UK,7924
2001,E02000134,EE,84
2001,E02000134,Other,838
2001,E02000134,rWE,273
2001,E02000134,UK,8584
2001,E02000135,EE,100
2001,E02000135,Other,1296
2001,E02000135,rWE,167
2001,E02000135,UK,7325
2001,E02000136,EE,66
2001,E02000136,Other,389
2001,E02000136,rWE,74
2001,E02000136,UK,4978
2001,E02000137,EE,55
2001,E02000137,Other,548
2001,E02000137,rWE,177
2001,E02000137,UK,6531
2001,E02000138,EE,73
2001,E02000138,Other,635
2001,E02000138,rWE,228
2001,E02000138,UK,6502
2001,E02000139,EE,50
2001,E02000139,Other,513
2001,E02000139,rWE,113
2001,E02000139,UK,6428
2001,E02000140,EE,25
2001,E02000140,Other,242
2001,E02000140,rWE,67
2001,E02000140,UK,7182
2001,E02000141,EE,79
2001,E02000141,Other,736
2001,E02000141,rWE,122
2001,E02000141,UK,6304
2001,E02000142,EE,43
2001,E02000142,Other,565
2001,E02000142,rWE,189
2001,E02000142,UK,6762
2001,E02000143,EE,64
2001,E02000143,Other,426
2001,E02000143,rWE,139
